序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
58,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1021液位(双法兰) 三甲基氯硅烷,q0083p0060,0,5600,0,600,4500,4800,工艺点位,,540,330,,,mm,
59,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1022液位(双法兰) 三甲基氯硅烷,q0083p0061,0,5600,0,600,4500,4800,工艺点位,,680,280,,,mm,
60,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1023液位(双法兰) 含苯低沸物,q0083p0062,0,5600,0,600,4500,4800,工艺点位,,826,230,,,mm,
61,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1024液位(双法兰) 二次低沸物,q0083p0063,0,5600,0,600,4500,4800,工艺点位,,977,230,,,mm,
62,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1025液位(双法兰)  氯苯,q0083p0064,0,5600,0,600,4500,4800,工艺点位,,542,600,,,mm,
63,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1026液位(双法兰) 硅氮,q0083p0065,0,5600,0,600,4500,4800,工艺点位,,695,550,,,mm,
64,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1027液位(双法兰) 三甲,q0083p0066,0,5600,0,600,4500,4800,工艺点位,,842,600,,,mm,
65,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1028液位(双法兰) 硅醚,q0083p0067,0,5600,0,600,4500,4800,工艺点位,,988,650,,,mm,
66,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,氮气总管压力 PT0001,q0083p0068,0,0.85,0,0.1,0.6,0.7,工艺点位,,550,300,,,Mpa,
67,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,仪表气总管压力 ,q0083p0069,0,1,0,0.1,0.8,0.9,工艺点位,,1000,300,,,Mpa,
68,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,焚烧车间氧气分析,q0083p0072,0,25,0,5,15,18,工艺点位,,280,50,,,%,
69,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,废液压力,q0083p0073,0,1,0,0.1,0.8,0.9,工艺点位,,120,300,,,Mpa,
70,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,冷却水总管流量 ,q0083p0076,0,100,0,10,80,90,工艺点位,,1000,350,,,%,
71,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机润滑油压力,q0083p0077,0,1,0,0.1,0.8,0.9,工艺点位,,260,105,,,Mpa,
72,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,尾气压缩机进气压力,q0083p0078,-100,200,-100,-50,100,150,工艺点位,,20,120,,,kpa,
