序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
25,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804B 硅氮成品,q0032p0026,0,100,0,10,80,100,重点化学品点位,,1410,195,,,%,tag1
26,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804C 硅氮成品,q0032p0027,0,100,0,10,80,100,重点化学品点位,,1270,195,,,%,tag1
27,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804D 硅氮成品,q0032p0028,0,100,0,10,80,100,重点化学品点位,,1132,195,,,%,tag1
28,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804E 硅氮成品,q0032p0029,0,100,0,10,80,100,重点化学品点位,,1000,195,,,%,tag1
29,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804F 硅氮成品,q0032p0030,0,100,0,10,80,100,重点化学品点位,,850,195,,,%,tag1
30,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804G 硅氮成品,q0032p0031,0,100,0,10,80,100,重点化学品点位,,710,195,,,%,tag1
31,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-804H 硅氮成品,q0032p0032,0,100,0,10,80,100,重点化学品点位,,580,195,,,%,tag1
32,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-805A 硅氮成品,q0032p0033,0,100,0,10,80,100,重点化学品点位,,175,540,,,%,tag1
33,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-805B 硅醚成品,q0032p0034,0,100,0,10,80,100,重点化学品点位,,310,540,,,%,tag1
34,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-806A 硅醚成品,q0032p0035,0,100,0,10,80,100,重点化学品点位,,445,540,,,%,tag1
35,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-806B 硅氮前馏,q0032p0036,0,100,0,10,80,100,重点化学品点位,,580,550,,,%,tag1
36,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-807 硅醚成品,q0032p0037,0,100,0,10,80,100,重点化学品点位,,712,550,,,%,tag1
37,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-808A 七甲成品,q0032p0038,0,100,0,10,80,100,重点化学品点位,,1000,550,,,%,tag1
38,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-808B 七甲成品,q0032p0039,0,100,0,10,80,100,重点化学品点位,,850,550,,,%,tag1
39,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-809A 七甲成品,q0032p0040,0,100,0,10,80,100,重点化学品点位,,1550,550,,,%,tag1
40,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-809B 硅氮成品,q0032p0041,0,100,0,10,80,100,重点化学品点位,,1410,550,,,%,tag1
41,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-809C 硅氮成品,q0032p0042,0,100,0,10,80,100,重点化学品点位,,1272,550,,,%,tag1
42,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-809D 硅氮成品,q0032p0043,0,100,0,10,80,100,重点化学品点位,,1132,550,,,%,tag1
43,新亚强硅化学股份有限公司（一厂）,q0032,101车间（一厂区）,q0032b0011,101车间,q0032w0011,合成A,q0032s0004,PI1201,q0032p0044,0,0.2,0,0,0.1,0.13,工艺点位,,112,564,,,Mpa,tag1
